DscConjuntoUnidadeConsumidora,DscTipoInterrupcao,IdeMotivoInterrupcao,DatInicioInterrupcao,DatFimInterrupcao,DscFatoGeradorInterrupcao,NumAno
AUGUSTA,NAPSo Programada,0,2021-01-05 12:18:38,2021-01-05 14:28:00,Interna - Nao Programada - Terceiros - Interferencia de terceiros,2021
AUGUSTA,NAPSo Programada,0,2022-05-07 10:44:50,2022-05-07 15:35:32,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2022
AUGUSTA,NAPSo Programada,6,2022-12-02 11:43:07,2022-12-02 17:05:36,INTERNA;NAO PROGRAMADA;TERCEIROS;INTERFERENCIA DE TERCEIROS,2022
AUGUSTA,NAPSo Programada,0,2022-02-15 14:51:01,2022-02-16 10:25:31,Interna - Nao Programada - Falha operacional - Erro de operacao,2022
AUGUSTA,NAPSo Programada,0,2022-07-11 08:43:59,2022-07-11 18:50:40,INTERNA;NAO PROGRAMADA;PROPRIAS DO SISTEMA;SOBRECARGA,2022
AUGUSTA,NAPSo Programada,6,2022-12-02 08:11:11,2022-12-02 09:53:43,INTERNA;NAO PROGRAMADA;TERCEIROS;INTERFERENCIA DE TERCEIROS,2022
AUGUSTA,NAPSo Programada,0,2022-07-24 10:20:43,2022-07-24 11:50:36,INTERNA;NAO PROGRAMADA;PROPRIAS DO SISTEMA;FALHA DE MATERIAL OU EQUIPAMENTO,2022
AUGUSTA,NAPSo Programada,0,2022-09-16 17:42:44,2022-09-18 13:45:19,INTERNA;NAO PROGRAMADA;PROPRIAS DO SISTEMA;FALHA DE MATERIAL OU EQUIPAMENTO,2022
AUGUSTA,NAPSo Programada,0,2022-01-07 18:28:50,2022-01-07 20:45:59,Interna - Nao Programada - Falha operacional - Servico mal executado,2022
AUGUSTA,NAPSo Programada,0,2022-03-22 21:27:56,2022-03-22 21:46:00,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2022
AUGUSTA,NAPSo Programada,0,2022-04-22 08:39:06,2022-04-23 22:40:00,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2022
AUGUSTA,NAPSo Programada,0,2022-11-09 17:23:30,2022-11-10 09:03:46,INTERNA;NAO PROGRAMADA;FALHA OPERACIONAL;ERRO DE OPERACAO,2022
AUGUSTA,NAPSo Programada,0,2022-10-30 17:55:11,2022-10-30 19:43:50,INTERNA;NAO PROGRAMADA;TERCEIROS;INTERFERENCIA DE TERCEIROS,2022
AUGUSTA,NAPSo Programada,0,2022-01-31 14:01:26,2022-01-31 22:05:00,Interna - Nao Programada - Falha operacional - Erro de operacao,2022
AUGUSTA,NAPSo Programada,6,2022-10-19 09:19:04,2022-10-20 10:55:02,INTERNA;NAO PROGRAMADA;PROPRIAS DO SISTEMA;SOBRECARGA,2022
AUGUSTA,NAPSo Programada,6,2022-03-11 08:34:00,2022-03-11 08:54:00,Interna - Nao Programada - Proprias do sistema - Sobrecarga,2022
AUGUSTA,NAPSo Programada,0,2022-12-11 18:51:26,2022-12-11 21:00:26,INTERNA;NAO PROGRAMADA;PROPRIAS DO SISTEMA;FALHA DE MATERIAL OU EQUIPAMENTO,2022
AUGUSTA,NAPSo Programada,0,2022-05-23 15:04:15,2022-05-23 19:03:12,Interna - Nao Programada - Terceiros - Interferencia de terceiros,2022
AUGUSTA,NAPSo Programada,0,2022-11-14 06:23:12,2022-11-14 09:49:01,INTERNA;NAO PROGRAMADA;PROPRIAS DO SISTEMA;FALHA DE MATERIAL OU EQUIPAMENTO,2022
