DscConjuntoUnidadeConsumidora,DscTipoInterrupcao,IdeMotivoInterrupcao,DatInicioInterrupcao,DatFimInterrupcao,DscFatoGeradorInterrupcao,NumAno
PAULA SOUZA,NAPSo Programada,0,2018-06-26 15:09:12,2018-06-26 21:42:33,Interna - Nao Programada - Proprias do sistema - Nao identificada,2018
PAULA SOUZA,NAPSo Programada,0,2018-05-11 08:33:40,2018-05-11 11:34:21,Interna - Nao Programada - Terceiros - Interferencia de terceiros,2018
PAULA SOUZA,Programada,0,2018-01-21 09:30:00,2018-01-21 15:11:21,Interna - Programada - Alteracao - Para melhoria,2018
PAULA SOUZA,NAPSo Programada,0,2018-01-10 17:26:37,2018-01-10 19:15:29,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2018
PAULA SOUZA,NAPSo Programada,0,2018-03-23 11:21:04,2018-03-23 15:42:18,Interna - Nao Programada - Falha operacional - Erro de operacao,2018
PAULA SOUZA,NAPSo Programada,0,2018-06-11 08:34:00,2018-06-11 09:37:39,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2018
PAULA SOUZA,NAPSo Programada,0,2018-07-26 11:30:15,2018-07-26 14:38:11,Interna - Nao Programada - Terceiros - Interferencia de terceiros,2018
PAULA SOUZA,NAPSo Programada,0,2018-08-08 10:21:45,2018-08-08 16:51:44,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2018
PAULA SOUZA,Programada,0,2018-09-04 23:00:20,2018-09-05 02:56:31,Interna - Programada - Alteracao - Para melhoria,2018
PAULA SOUZA,Programada,0,2018-09-04 23:00:20,2018-09-05 05:00:00,Interna - Programada - Alteracao - Para melhoria,2018
PAULA SOUZA,Programada,0,2018-09-04 23:00:54,2018-09-05 03:55:07,Interna - Programada - Alteracao - Para melhoria,2018
PAULA SOUZA,Programada,0,2018-09-04 23:00:54,2018-09-05 03:55:07,Interna - Programada - Alteracao - Para melhoria,2018
PAULA SOUZA,Programada,0,2018-09-04 23:00:54,2018-09-05 03:55:07,Interna - Programada - Alteracao - Para melhoria,2018
PAULA SOUZA,Programada,0,2018-04-22 09:06:59,2018-04-22 14:50:23,Interna - Programada - Alteracao - Para melhoria,2018
PAULA SOUZA,NAPSo Programada,6,2018-11-27 08:03:29,2018-11-27 11:11:03,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2018
PAULA SOUZA,NAPSo Programada,0,2018-11-18 15:59:00,2018-11-18 17:12:01,Interna - Nao Programada - Falha operacional - Erro de operacao,2018
PAULA SOUZA,NAPSo Programada,0,2018-04-22 04:02:16,2018-04-22 12:20:42,Interna - Nao Programada - Terceiros - Abalroamento,2018
PAULA SOUZA,NAPSo Programada,0,2018-04-22 04:17:30,2018-04-22 12:48:56,Interna - Nao Programada - Terceiros - Abalroamento,2018
PAULA SOUZA,NAPSo Programada,6,2018-10-02 01:11:00,2018-10-02 03:15:55,Interna - Nao Programada - Proprias do sistema - Falha de material ou equipamento,2018
PAULA SOUZA,NAPSo Programada,0,2018-02-13 23:44:20,2018-02-14 03:17:17,Interna - Nao Programada - Terceiros - Interferencia de terceiros,2018
PAULA SOUZA,Programada,0,2018-10-15 02:20:02,2018-10-15 07:45:22,Interna - Programada - Alteracao - Para melhoria,2018
PAULA SOUZA,NAPSo Programada,0,2018-07-28 05:31:25,2018-07-28 11:26:32,Interna - Nao Programada - Falha operacional - Erro de operacao,2018
PAULA SOUZA,NAPSo Programada,0,2018-07-28 03:21:00,2018-07-28 04:02:36,Interna - Nao Programada - Falha operacional - Erro de operacao,2018
