DscConjuntoUnidadeConsumidora,DscTipoInterrupcao,IdeMotivoInterrupcao,DatInicioInterrupcao,DatFimInterrupcao,DscFatoGeradorInterrupcao,NumAno
NOVO BANDEIRANTES,NAPSo Programada,6,2024-01-04 21:18:59,2024-01-05 10:14:33,INTERNA;NAO PROGRAMADA;PROPRIAS DO SISTEMA;SOBRECARGA,2024
NOVO BANDEIRANTES,NAPSo Programada,0,2024-05-07 04:48:11,2024-05-07 04:53:03,INTERNA;NAO PROGRAMADA;PROPRIAS DO SISTEMA;FALHA DE MATERIAL OU EQUIPAMENTO,2024
NOVO BANDEIRANTES,NAPSo Programada,3,2024-05-27 09:03:23,2024-05-27 18:55:32,INTERNA;NAO PROGRAMADA;MEIO AMBIENTE;ARVORE OU VEGETACAO,2024
NOVO BANDEIRANTES,Programada,0,2024-06-04 23:00:00,2024-06-05 03:30:23,INTERNA;PROGRAMADA;ALTERACAO;PARA MELHORIA,2024
NOVO BANDEIRANTES,NAPSo Programada,0,2024-04-15 13:15:28,2024-04-16 07:35:25,INTERNA;NAO PROGRAMADA;TERCEIROS;OBJETO NA REDE,2024
NOVO BANDEIRANTES,NAPSo Programada,0,2024-01-28 11:12:05,2024-01-28 11:20:29,INTERNA;NAO PROGRAMADA;MEIO AMBIENTE;ARVORE OU VEGETACAO,2024
NOVO BANDEIRANTES,NAPSo Programada,0,2024-02-24 11:37:55,2024-02-25 14:14:34,INTERNA;NAO PROGRAMADA;PROPRIAS DO SISTEMA;SOBRECARGA,2024
NOVO BANDEIRANTES,NAPSo Programada,3,2024-02-15 03:03:13,2024-02-15 05:55:36,INTERNA;NAO PROGRAMADA;MEIO AMBIENTE;ARVORE OU VEGETACAO,2024
NOVO BANDEIRANTES,NAPSo Programada,0,2024-01-28 11:22:13,2024-01-28 13:24:37,INTERNA;NAO PROGRAMADA;MEIO AMBIENTE;ARVORE OU VEGETACAO,2024
NOVO BANDEIRANTES,NAPSo Programada,0,2024-01-28 11:22:17,2024-01-28 20:21:37,INTERNA;NAO PROGRAMADA;MEIO AMBIENTE;ARVORE OU VEGETACAO,2024
NOVO BANDEIRANTES,NAPSo Programada,0,2024-03-25 09:14:45,2024-03-25 14:24:00,INTERNA;NAO PROGRAMADA;PROPRIAS DO SISTEMA;FALHA DE MATERIAL OU EQUIPAMENTO,2024
NOVO BANDEIRANTES,Programada,0,2024-05-27 00:48:49,2024-05-27 01:50:00,INTERNA;PROGRAMADA;ALTERACAO;PARA MELHORIA,2024
