eq_nome,eq_enderec,eq_bairro,eq_cep,eq_horario,eq_telefon,eq_regiao,eq_distrit,eq_subpref,eq_esfera,eq_classe,eq_rede,eq_tipo,geometry,Latitude,Longitude
THOMAZIA MONTORO,"RUA DOUTOR ADOLFO MELO JUNIOR, 156",FERREIRA,05522-030,,37427223,OESTE,94,10,MUNICIPAL,REDE_PUBLICA_ENSINO_FUNDAMENTAL_MEDIO,SEM REDE,EE,POINT (322752.798697 7389794.857594),-23.592660400713605,-46.73704750624484
ADOLFO TRIPOLI PROFESSOR,"RUA LOURENCO DE AZEVEDO, 149",VILA MORSE,05624-060,,37427438,OESTE,94,10,MUNICIPAL,REDE_PUBLICA_ENSINO_FUNDAMENTAL_MEDIO,SEM REDE,EE,POINT (323516.938523 7389376.489471),-23.596521249649896,-46.7296110225698
PAULO ROSSI PROFESSOR,"RUA DOS BOGARIS, 200",MIRANDOPOLIS,04047-020,,25775489,SUL,77,12,MUNICIPAL,REDE_PUBLICA_ENSINO_FUNDAMENTAL_MEDIO,SEM REDE,EE,POINT (332143.072392 7387986.949706),-23.60998584723088,-46.64525548029225
LYGIA DE AZEVEDO SOUZA E SA PROFESSORA,"RUA DOUTOR MAURICIO DE LACERDA, 322",SAO JUDAS,04303-191,,22768811,SUL,77,12,MUNICIPAL,REDE_PUBLICA_ENSINO_FUNDAMENTAL_MEDIO,SEM REDE,EE,POINT (333142.851818 7386218.862626),-23.626053509078265,-46.63565741750423
MARIA RIBEIRO GUIMARAES BUENO PROFESSORA,"RUA VUTURUNA, 190",VILA DO BOSQUE,04147-080,,55872963,SUL,77,12,MUNICIPAL,REDE_PUBLICA_ENSINO_FUNDAMENTAL_MEDIO,SEM REDE,EE,POINT (333760.83252 7386853.692906),-23.62038532614128,-46.629530499704714
HELENA LEMMI PROFESSORA,"RUA JUA, 246",SAUDE,04138-020,,22765939,SUL,77,12,MUNICIPAL,REDE_PUBLICA_ENSINO_FUNDAMENTAL_MEDIO,SEM REDE,EE,POINT (333233.563608 7387706.33585),-23.61263242394895,-46.63460181028437
ERICO DE ABREU SODRE,"RUA PROFESSORA LUDOVINA CREDIDIO PEIXOTO, 98",CHACARA INGLESA,04139-070,,25781507,SUL,77,12,MUNICIPAL,REDE_PUBLICA_ENSINO_FUNDAMENTAL_MEDIO,SEM REDE,EE,POINT (333487.834126 7388415.245173),-23.606257859062993,-46.632031036333224
BARROSO ALMIRANTE,"AVENIDA JABAQUARA, 2875",JABAQUARA,04045-004,,22763692,SUL,77,12,MUNICIPAL,REDE_PUBLICA_ENSINO_FUNDAMENTAL_MEDIO,SEM REDE,EE,POINT (332318.238266 7385932.264359),-23.628555785455045,-46.643770614787854
RUI BLOEM,"RUA DOS BOGARIS, 244",MIRANDOPOLIS,04047-020,,22754918,SUL,77,12,MUNICIPAL,REDE_PUBLICA_ENSINO_FUNDAMENTAL_MEDIO,SEM REDE,EE,POINT (332220.248526 7387929.599101),-23.61051168053467,-46.644505739482966
LOURIVAL GOMES MACHADO PROFESSOR,"ESTRADA DE SANTO AMARO, 55",JARDIM EDUCANDARIO,05544-000,,37825471,OESTE,65,10,MUNICIPAL,REDE_PUBLICA_ENSINO_FUNDAMENTAL_MEDIO,SEM REDE,EE,POINT (319819.057702 7390000.344306),-23.590481018705525,-46.76576322628597
ALMEIDA JUNIOR PROFESSOR,"AVENIDA ENGENHEIRO HEITOR ANTONIO EIRAS GARCIA, 1874",JARDIM MARIA LUIZA,05588-001,,37354719,OESTE,67,10,MUNICIPAL,REDE_PUBLICA_ENSINO_FUNDAMENTAL_MEDIO,SEM REDE,EE,POINT (321415.039255 7390977.019655),-23.581840053474423,-46.750011417972395
ALCIDES DA COSTA VIDIGAL,"RUA GEREMIA LUNARDELLI, 370",JARDIM PERI PERI,05537-100,,37427503,OESTE,12,10,MUNICIPAL,REDE_PUBLICA_ENSINO_FUNDAMENTAL_MEDIO,SEM REDE,EE,POINT (322899.513668 7390509.945734),-23.586220223536035,-46.735525246796996
AUGUSTO DO AMARAL DEPUTADO,"EULO MARONI, 244",VILA LAGEADO,05338-100,,37682342,OESTE,41,08,MUNICIPAL,REDE_PUBLICA_ENSINO_FUNDAMENTAL_MEDIO,SEM REDE,EE,POINT (321737.265378 7394400.222584),-23.55096892459793,-46.74644617434272
JOSE AMERICO DE ALMEIDA DOUTOR,"RAMON BAYEU, 21",VILA NOVA ALBA,05363-200,,37312948,OESTE,67,10,MUNICIPAL,REDE_PUBLICA_ENSINO_FUNDAMENTAL_MEDIO,SEM REDE,EE,POINT (321772.007098 7391905.04339),-23.573500683866143,-46.74640377000344
SAMUEL KLABIN,"RUA BORIS ALEXANDRE, 189",VILA DALVA,05387-020,,37610144,OESTE,67,10,MUNICIPAL,REDE_PUBLICA_ENSINO_FUNDAMENTAL_MEDIO,SEM REDE,EE,POINT (319863.327013 7392493.699563),-23.56797475669344,-46.765028460723606
